,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Car_Age
594,615,Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,First,1368,2393,1478,8.0,1943,17.5,1,0,0,1,6
597,618,Maruti Vitara Brezza ZDi,Pune,2016,21558,First,243,1248,885,5.0,1065,8.9,1,0,0,1,7
610,632,Mini Cooper 5 DOOR D,Mumbai,2016,11000,First,207,1496,11398,5.0,4212,29.5,1,0,1,0,7
613,635,Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,First,141,2179,154,7.0,1695,11.25,1,0,0,1,6
614,636,Honda BR-V i-DTEC VX MT,Kochi,2017,32249,First,219,1498,986,7.0,1545,10.79,1,0,0,1,6
617,639,Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,First,2089,1197,8180,5.0,787,5.7,0,1,0,1,6
630,654,Maruti Alto K10 VXI,Bangalore,2011,64357,First,2407,998,671,5.0,47,2.75,0,1,0,1,12
633,657,Honda BRV i-VTEC V CVT,Mumbai,2017,18000,First,160,1497,1173,7.0,1502,9.25,0,1,1,0,6
644,668,Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,First,243,1248,885,5.0,1256,11.31,1,0,0,1,6
647,671,Nissan Sunny XV CVT,Kochi,2013,37199,First,175,1498,996,5.0,1133,5.43,0,1,1,0,10
673,697,Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,First,1368,2393,1478,7.0,2645,18.75,1,0,0,1,6
690,714,Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,First,220,1197,8180,5.0,1034,8.5,0,1,1,0,6
707,731,Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,First,240,1186,7397,5.0,746,4.9,1,0,0,1,6
708,732,Honda City i-VTEC V,Delhi,2014,55818,Second,174,1497,1173,5.0,1185,5.7,0,1,0,1,9
716,741,Maruti Ertiga VDI,Ahmedabad,2017,63939,First,2547,1248,8850,7.0,1041,7.75,1,0,0,1,6
717,742,Maruti Celerio VXI AMT,Delhi,2014,35214,Second,231,998,6704,5.0,557,3.2,0,1,1,0,9
721,746,Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Second,207,1496,11398,5.0,4248,23.5,1,0,1,0,9
724,750,Honda City i-VTEC CVT VX,Bangalore,2015,18955,First,180,1497,1173,5.0,1604,10.65,0,1,1,0,8
730,756,Honda Jazz VX,Kochi,2018,20024,First,182,1199,887,5.0,91,8.46,0,1,0,1,5
736,762,Ford Figo Titanium Diesel,Kolkata,2015,72035,First,255,1498,99,5.0,765,2.5,1,0,0,1,8
758,784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,First,158,1591,1213,5.0,1374,10.9,0,1,0,1,7
765,791,Maruti Wagon R VXI,Coimbatore,2015,72599,First,225,998,6704,5.0,572,4.32,0,1,0,1,8
770,796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,First,140,2179,155,7.0,2133,17.63,1,0,1,0,4
776,802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,First,179,2143,20115,5.0,7876,56.0,1,0,1,0,7
783,809,Honda Amaze VX Diesel,Hyderabad,2018,12000,First,274,1498,986,5.0,1034,8.5,1,0,0,1,5
787,813,Maruti Alto K10 LXI,Pune,2014,49000,First,2407,998,671,5.0,429,2.3,0,1,0,1,9
799,825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,First,2166,1498,10862,5.0,1004,6.45,1,0,0,1,6
811,838,Mahindra Xylo H4,Chennai,2016,215000,First,1402,2179,1183,7.0,1167,7.5,1,0,0,1,7
822,850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,First,1368,2393,1478,7.0,2552,18.6,1,0,0,1,6
841,869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,First,254,1186,7397,5.0,856,5.9,1,0,0,1,5
847,875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,First,1136,2755,1715,7.0,27,19.92,1,0,1,0,5
850,878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,First,217,999,67,5.0,478,3.25,0,1,0,1,6
852,880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,First,231,998,6704,5.0,614,5.0,0,1,1,0,6
856,884,Maruti Dzire VXI,Kolkata,2011,46687,First,220,1197,8180,5.0,73,2.7,0,1,0,1,12
868,897,Datsun redi-GO T Option,Bangalore,2016,20487,First,227,799,5364,5.0,437,2.66,0,1,0,1,7
883,912,Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,First,151,1196,73,7.0,498,3.61,0,1,0,1,11
889,919,Honda City i-VTEC CVT VX,Mumbai,2015,30000,First,180,1497,1173,5.0,1529,8.65,0,1,1,0,8
907,940,Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,First,163,1956,170,5.0,2426,20.0,1,0,0,1,6
908,941,Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,First,1568,1999,177,5.0,7512,59.72,1,0,1,0,5
909,942,Maruti Baleno Alpha Diesel,Kolkata,2016,29000,First,2739,1248,74,5.0,953,6.5,1,0,0,1,7
913,946,Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,First,135,2477,17556,7.0,346,12.49,1,0,0,1,10
919,952,Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,First,1368,2393,1478,7.0,2645,18.39,1,0,0,1,5
921,954,Honda Jazz VX Diesel,Mumbai,2016,38000,First,273,1498,986,5.0,1115,6.21,1,0,0,1,7
929,962,Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,First,0,1950,194,5.0,5226,39.5,1,0,1,0,5
951,984,BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,First,2248,1995,190,5.0,7043,17.5,1,0,1,0,11
967,1001,Renault KWID RXT Optional,Hyderabad,2018,1900,First,2517,799,533,5.0,48,4.45,0,1,0,1,5
976,1010,Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,First,230,1498,9896,5.0,1212,11.65,1,0,0,1,4
978,1012,Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,First,1368,2393,1478,7.0,1937,16.5,1,0,0,1,6
983,1017,Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,First,2064,1498,1085,5.0,1214,5.39,1,0,0,1,9
996,1030,Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,First,1424,2755,1745,7.0,3669,13.28,1,0,0,1,10
1005,1039,Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,First,160,1368,160,5.0,2368,17.75,0,1,1,0,6
1010,1044,Audi A4 35 TDI Technology,Hyderabad,2015,45000,First,1825,1968,18774,5.0,5561,25.0,1,0,1,0,8
1016,1050,Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,First,148,1497,12136,5.0,141,12.41,0,1,1,0,5
1022,1056,Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,First,251,1248,885,5.0,1326,7.94,1,0,0,1,7
1031,1065,Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,First,1136,2755,1715,7.0,2805,20.5,1,0,1,0,7
1037,1072,Maruti Ertiga VDI,Pune,2016,130000,First,2547,1248,8850,7.0,1127,7.0,1,0,0,1,7
1042,1077,Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,First,243,1248,885,5.0,112,10.49,1,0,0,1,4
1045,1080,Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,First,1757,1193,887,5.0,856,3.95,0,1,0,1,9
1059,1094,Maruti Vitara Brezza VDi,Kolkata,2017,35000,First,243,1248,885,5.0,946,6.5,1,0,0,1,6
1061,1096,Mahindra XUV300 W8 Diesel,Chennai,2012,97000,First,200,1497,115,5.0,1279,7.25,1,0,0,1,11
1062,1097,Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,First,220,1582,1262,5.0,1557,6.01,1,0,0,1,9
1068,1103,Tata Hexa XT,Delhi,2017,55000,First,176,2179,15386,7.0,1986,12.0,1,0,0,1,6
1075,1110,Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,First,2384,1199,84,5.0,659,5.88,0,1,0,1,5
1078,1113,Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,First,126,1950,19134,5.0,8697,51.35,0,1,1,0,5
1082,1117,Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,First,207,1496,11398,5.0,4212,22.0,1,0,1,0,9
1103,1139,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,First,189,1197,8186,5.0,654,5.0,0,1,0,1,6
1104,1140,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,First,1136,2755,1715,7.0,2656,19.75,1,0,1,0,7
1105,1141,Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,First,196,1461,10845,5.0,1505,11.44,1,0,1,0,6
1109,1146,Mahindra Bolero ZLX,Mumbai,2016,40448,First,1596,2523,621,7.0,1101,3.5,1,0,0,1,7
1110,1147,Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,First,243,1248,885,5.0,11,10.46,1,0,0,1,5
1112,1149,Honda Amaze S Petrol,Kochi,2016,51672,First,195,1199,8876,5.0,755,5.68,0,1,0,1,7
1119,1157,Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,First,189,1197,8186,5.0,782,5.98,0,1,0,1,6
1121,1159,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,First,189,1197,8186,5.0,632,4.77,0,1,0,1,5
1149,1187,Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,First,170,1591,1213,5.0,1514,7.2,0,1,1,0,8
1150,1188,Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,First,220,1582,1262,5.0,1572,5.9,1,0,1,0,10
1154,1192,Volvo S60 D4 Momentum,Hyderabad,2015,51000,First,2703,1969,190,5.0,4567,25.0,1,0,1,0,8
1157,1195,BMW 3 Series 320d Luxury Line,Chennai,2012,65000,First,2269,1995,190,5.0,547,14.0,1,0,1,0,11
1159,1197,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,First,1368,2393,1478,7.0,2287,20.4,1,0,0,1,6
1160,1198,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,1000,First,1878,999,75,5.0,674,5.68,0,1,0,1,4
1162,1200,Mitsubishi Pajero Sport 4X4,Mumbai,2013,59000,First,135,2477,17556,7.0,3309,12.75,1,0,0,1,10
1187,1226,Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,21000,First,1428,1798,13803,5.0,2325,18.0,0,1,1,0,6
1191,1230,Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52000,First,2143,1364,8679,5.0,1927,6.5,1,0,0,1,11
1203,1242,Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,First,136,1999,177,5.0,5277,40.0,1,0,1,0,5
1204,1243,Mahindra Xylo D4,Chennai,2016,85000,First,1495,2489,937,7.0,1167,6.15,1,0,0,1,7
1208,1247,Maruti Swift VDI,Kochi,2017,34613,First,284,1248,74,5.0,792,6.24,1,0,0,1,6
1217,1256,Hyundai Xcent 1.2 VTVT S,Bangalore,2014,54000,First,2014,1197,8186,5.0,785,5.5,0,1,0,1,9
1230,1270,Honda City i-VTEC CVT VX,Kochi,2018,22974,First,180,1497,1173,5.0,1555,11.97,0,1,1,0,5
1231,1272,Toyota Fortuner 2.8 2WD MT,Ahmedabad,2015,65012,First,1424,2755,1745,7.0,3245,18.9,1,0,0,1,8
1233,1274,Maruti Eeco 7 Seater Standard,Hyderabad,2015,90413,First,151,1196,73,7.0,483,2.95,0,1,0,1,8
1260,1301,Maruti Swift LDI,Mumbai,2015,14000,First,284,1248,74,5.0,713,5.25,1,0,0,1,8
1262,1303,BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,First,2248,1995,190,5.0,7182,24.68,1,0,1,0,11
1264,1305,BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,First,1705,1995,190,5.0,5097,29.5,1,0,1,0,7
1272,1313,Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,Second,240,1396,8876,5.0,1073,1.9,1,0,0,1,15
1276,1317,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Second,195,1248,75,5.0,95,2.5,1,0,0,1,10
1278,1320,BMW 3 Series 320d Luxury Line,Kochi,2013,37613,First,2269,1995,190,5.0,5246,13.95,1,0,1,0,10
1281,1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,First,2089,1197,8180,5.0,607,6.06,0,1,0,1,4
1292,1336,Audi Q7 45 TDI Quattro Technology,Mumbai,2016,20002,First,1475,2967,245,7.0,104,67.0,1,0,1,0,7
1316,1362,Maruti Alto K10 VXI,Kolkata,2018,2100,First,2407,998,671,5.0,433,3.6,0,1,0,1,5
1317,1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,First,189,1197,8186,5.0,863,7.55,0,1,1,0,5
1322,1368,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,First,189,1197,8186,5.0,668,6.17,0,1,0,1,4
1323,1369,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,First,220,1582,1262,5.0,1407,2.5,1,0,0,1,15
1335,1381,Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,First,196,1461,10845,5.0,1505,11.5,1,0,1,0,7
1346,1393,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,First,189,1197,8186,5.0,798,6.2,0,1,1,0,5
1360,1407,Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,First,1136,2755,1715,7.0,2482,15.49,1,0,1,0,7
1365,1412,Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,First,1757,1193,887,5.0,763,4.0,0,1,0,1,7
1379,1427,Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,First,1368,2393,1478,7.0,2286,19.92,1,0,0,1,5
1389,1437,Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,First,170,1497,12136,5.0,1106,9.2,0,1,0,1,5
1395,1443,Maruti Alto K10 VXI,Hyderabad,2016,10000,First,2407,998,671,5.0,453,3.5,0,1,0,1,7
1407,1455,Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,First,1428,1798,13803,5.0,1939,4.5,0,1,0,1,13
1424,1472,Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,First,1462,1999,14992,5.0,2177,16.35,0,1,1,0,6
1442,1490,Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,First,176,1582,1262,5.0,1835,12.5,1,0,1,0,7
1446,1494,Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,First,2166,1498,10862,5.0,919,5.8,1,0,0,1,7
1447,1495,Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,First,1757,1193,887,5.0,809,5.0,0,1,0,1,8
1449,1497,Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,First,1428,1798,13803,5.0,2325,17.49,0,1,1,0,5
1457,1505,Land Rover Range Rover Sport SE,Kochi,2019,26013,First,1265,2993,255,5.0,139,97.07,1,0,1,0,4
1471,1519,Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,First,284,1248,7375,5.0,1152,9.15,1,0,1,0,6
1477,1525,Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,First,230,1498,9896,5.0,1323,7.7,1,0,0,1,7
1481,1529,Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,First,2065,1248,887,5.0,1006,6.69,1,0,0,1,5
1483,1531,Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,First,2172,1498,1084,5.0,1534,10.5,1,0,1,0,6
1484,1532,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,First,1368,2393,1478,8.0,2401,22.55,1,0,0,1,4
